dataset,uniqueness_mean,uniqueness_p90,density_mean,density_p90,outlier_mean,outlier_p90,entropy,cluster_sep,n_samples,n_features,disagree5,disagree20,risk,auc_shadow_model_xgboost,auc_loss_threshold_rf,auc_lira_xgboost,auc_lira_rf,auc_loss_threshold_xgboost,auc_shadow_model_rf,auc_shadow_model_mlp,auc_lira_mlp,auc_loss_threshold_mlp
nhanes,1.4652511599810774,2.1112836437156663,0.760598658678397,1.0785623937645907,0.1754485860840042,0.3388192488765965,4.147034604334875,0.092079184949398,768.0,8.0,0.3104166666666667,0.33131510416666665,0.7167082129625775,0.6687028672960069,0.7736545138888888,0.8429371298511277,0.955113321543867,0.6756998697916666,0.7614508734809027,0.5554317898220487,0.6467862202595231,0.5705973307291666
nomao,3.2354274359939494,7.1669036865234395,0.7730069006750722,1.6811607009302716,0.1208109081730256,0.2511629733145283,0.9824634910542366,0.1242342516779899,30000.0,203.0,0.06282,0.082395,0.5602692633900508,0.5118956366666667,0.5754384688888889,0.574535068938687,0.7324833551692589,0.5102872177777777,0.5714406683333333,0.5136042094444444,0.5388426208469556,0.5138961244444444
optdigits,4.245279768268409,5.320828342437745,0.2560342421825983,0.3293948863728141,0.1660177666201373,0.2740687196771714,2.416668496780201,0.1112877652049064,5620.0,64.0,0.032348754448398576,0.06030249110320285,0.6408292095448683,0.5511609370448702,0.7112099644128114,0.6971508921202194,0.956639104140737,0.5560342447537393,0.7108427578171503,0.5110583705880118,0.5597005013752334,0.5136661136510429
pendigits,0.9268071616076616,1.360357105731964,1.1991374093054388,1.687256919385444,0.1893332621585005,0.3057105047670461,4.8354515711712605,0.1706946045160293,10992.0,16.0,0.009934497816593887,0.020906113537117903,0.5795622761350381,0.5265957367565455,0.6170534207490324,0.6116136510664824,0.7929340079771999,0.5399079772718124,0.610899323830061,0.4980860600749202,0.5122087736279548,0.506761533861334
phoneme,0.3490879697496611,0.569915498851496,3.682736986789476,5.8748688607125645,0.1548944531719829,0.274476075923038,4.72503758443538,0.0877517908811569,5404.0,5.0,0.14907475943745374,0.19808475203552925,0.6022648396438888,0.5514291987567397,0.6364294261289578,0.6722772845310881,0.8206153597285106,0.551778338385745,0.6375330888214503,0.514664600638505,0.5262623629126466,0.5093938968913561
purchase100,28.032370372125055,31.226607513427737,0.035971432755685,0.0405688308953376,0.2589748972932014,0.3464438733592866,0.7508582571332902,-0.0224675815552473,197324.0,600.0,0.8018010987006142,0.8211512537755165,0.8475979681449518,0.9120149481331629,0.9980816021125629,0.9924463042445856,0.999650156800599,0.9123584710576362,0.9979042768593336,0.6014449166286502,0.612943028067693,0.6015380094003431
satimage,1.475134278289267,2.1606936216354375,0.7422291161332671,0.9962560335565496,0.1829230617295356,0.3718784426227829,4.920683902631292,0.1890226453542709,6430.0,36.0,0.11359253499222395,0.14186625194401245,0.6107860241856797,0.5549333291409582,0.6024423326698094,0.7233530528903217,0.8720342749727626,0.5434202525583567,0.6160540840587352,0.5150799494012562,0.5650340378238694,0.504722904155047
segment,0.8592362087881152,1.3780885934829707,1.7925408768639717,3.1880119867414907,0.1108123843534785,0.2018454074802907,3.4997247267982803,0.1934427917003631,2310.0,19.0,0.06735930735930735,0.1201948051948052,0.5782509503884665,0.5350599688911377,0.5984854106932029,0.6147895778537035,0.7563727942708637,0.542654747849553,0.5984919697906712,0.5123113322463972,0.5365520761262272,0.5095406757744421
spambase,3.2217888806758497,5.936814785003662,0.7286902513396193,2.3544755791385232,0.0698166511773185,0.1374999165453996,0.9339064276880964,0.0440180450677871,4601.0,57.0,0.12114757661377962,0.15919365355357531,0.6096169222059236,0.5398191240103547,0.6611112370802864,0.6126904219864814,0.8513107984416072,0.5453098841713433,0.6523246981463636,0.5277030544375791,0.5636806214013017,0.5326024601779945
texas100,55.7272809960062,110.5421760559082,0.0282219356704148,0.0523906271429164,0.138344203320822,0.2256730441946349,0.0158494385803481,-0.2261146008968353,67330.0,6169.0,0.7162602109015298,0.7437583543739789,0.8175820869498366,0.62805771063732,0.9015734190387112,0.8378909130383649,0.9982677609537042,0.6263100407296722,0.9011660939712538,0.8064580246979212,0.8554494120720283,0.8030654074095528
vehicle,1.6376170845037374,1.9975935816764832,0.650670202689829,0.8100733884079507,0.1389917479023644,0.2228571450855471,4.519945240463077,-0.0131296468898653,846.0,18.0,0.32600472813238773,0.4067966903073286,0.7213133625012824,0.7004384420636118,0.7600472813238771,0.8917141881019197,0.9582392489602082,0.6933420518753248,0.7707379742803011,0.5532047627830035,0.6180249663879984,0.5460713467352972
